# Constructed from biom file
#OTU ID	SRR17868041	SRR17868042	SRR17868043	SRR17868044	SRR17868045	SRR17868046	SRR17868047	SRR17868048	SRR17868049	SRR17868050	SRR17868051	SRR17868052	SRR17868053	SRR17868054	SRR17868055	SRR17868056	SRR17868057	SRR17868058	SRR17868059	SRR17868060	SRR17868061	SRR17868062	SRR17868063	SRR17868064	SRR17868065	SRR17868066	SRR17868067	SRR17868068	SRR17868069	SRR17868070	SRR17868071	SRR17868072	SRR17868073	SRR17868074	SRR17868075	SRR17868076	SRR17868077	SRR17868078	SRR17868079	SRR17868080	SRR17868081	SRR17868082	SRR17868083	SRR17868084	SRR17868085	SRR17868086	SRR17868087	SRR17868088	SRR17868089	SRR17868090	SRR17868091	SRR17868092	SRR17868093	SRR17868094
c27ad79848adcd406bf90804cb13ec9b	140.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	109.0	284.0	11838.0	0.0	91.0	0.0	185.0	0.0	32.0	56.0	0.0	0.0	5472.0	0.0	0.0	4465.0	0.0	103.0	9507.0	182.0	0.0	1311.0	55.0	269.0	14.0	0.0	0.0	871.0	289.0	4975.0	9898.0	1011.0	0.0	2709.0	217.0	0.0	0.0	0.0	1771.0	5320.0	267.0	0.0	43.0	0.0	122.0	516.0
11902be998c8092e98cbe98af2f648af	10.0	9.0	45193.0	0.0	0.0	0.0	0.0	0.0	11.0	21.0	3879.0	769.0	3997.0	0.0	0.0	0.0	1155.0	13.0	3.0	0.0	3.0	0.0	9.0	6.0	3070.0	1088.0	0.0	4.0	21.0	0.0	44.0	142.0	80.0	66.0	15.0	1277.0	9.0	49.0	11.0	0.0	0.0	0.0	65.0	35.0	110.0	0.0	4.0	0.0	46.0	0.0	62.0	689.0	0.0	0.0
a9d3f0bd5ca203b5354a332eca91a33c	5853.0	0.0	0.0	4.0	0.0	8104.0	0.0	0.0	0.0	5.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	343.0	0.0	0.0	0.0	9.0	0.0	0.0	2170.0	7687.0	370.0	6798.0	0.0	1332.0	9117.0	0.0	116.0	0.0	327.0	5416.0	0.0	0.0	0.0	1.0	0.0	0.0	3375.0	1.0	0.0
8fd88bade4ab12bca62cbcef70c3c6f0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	526.0	32.0	84.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	27354.0	0.0	0.0	0.0	0.0	0.0	226.0	66.0	142.0	0.0	313.0	0.0	0.0	0.0	5398.0	0.0	138.0	354.0	121.0	199.0	0.0	406.0	0.0	0.0	0.0	0.0	1090.0	2623.0	0.0	0.0	0.0	0.0	0.0	0.0
24d821dddfbe031b81a44817e6d6a4c1	0.0	297.0	0.0	13.0	0.0	0.0	0.0	21.0	30.0	205.0	446.0	0.0	2438.0	0.0	6.0	0.0	556.0	0.0	0.0	1606.0	6458.0	0.0	0.0	0.0	0.0	0.0	284.0	0.0	0.0	19.0	22.0	170.0	0.0	0.0	43.0	12926.0	166.0	107.0	0.0	2366.0	7624.0	0.0	46.0	36.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	220.0	0.0	6.0
57378dc53db0a0dd8a8a0d3b4ea0ac5e	4746.0	28.0	0.0	0.0	0.0	7283.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2058.0	1812.0	0.0	3470.0	0.0	0.0	5992.0	0.0	91.0	0.0	224.0	3788.0	0.0	0.0	0.0	0.0	21.0	0.0	3349.0	0.0	0.0
84d3aa3cef3eefd518d6d396b065a951	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	274.0	151.0	0.0	0.0	35.0	4.0	0.0	0.0	2990.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	947.0	0.0	244.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25956.0	0.0	0.0	1879.0
5ffa45b1ff8681e9b0a43ea196e86275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	709.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	946.0	0.0	197.0	1327.0	359.0	0.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	68.0	431.0	1763.0	4032.0	0.0	0.0	0.0	0.0	387.0	3835.0	0.0	0.0	224.0	0.0	988.0	0.0	0.0	0.0	0.0	2128.0	13106.0
409f711b59152d57926cf444c5577087	185.0	0.0	16.0	120.0	1278.0	105.0	2711.0	0.0	0.0	2739.0	265.0	2051.0	156.0	25.0	223.0	1577.0	279.0	226.0	35.0	6.0	55.0	77.0	22.0	65.0	105.0	30.0	46.0	244.0	287.0	0.0	407.0	1439.0	41.0	218.0	4943.0	26.0	67.0	415.0	1197.0	409.0	1014.0	0.0	1213.0	581.0	1233.0	0.0	41.0	0.0	3194.0	48.0	294.0	25.0	0.0	0.0
1fd79c0a808de8700128f1f45f697dd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25950.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6006e97d11f101f3bdd5e0353aad0fe2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	11.0	1260.0	0.0	15.0	14694.0	26.0	0.0	0.0	0.0	23.0	0.0	9353.0	0.0	160.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	98.0	0.0	6.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0
9b23053de8f4269fe6b5ce286dfbef3c	0.0	0.0	0.0	48.0	5.0	2412.0	0.0	0.0	0.0	110.0	460.0	0.0	28.0	0.0	3.0	2250.0	6.0	1330.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0	9.0	0.0	62.0	4.0	0.0	9936.0	0.0	0.0	0.0	0.0	49.0	1122.0	53.0	0.0	12.0	6.0	992.0	13.0	0.0	0.0	5887.0	0.0	4.0	0.0	0.0	0.0
6623cebbaaeb0a2a66abe5a6dbdd8845	0.0	0.0	0.0	9117.0	0.0	0.0	7486.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	40.0	4299.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	351.0	0.0	0.0	0.0	0.0	0.0	2777.0	0.0	0.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
