# Constructed from biom file
#OTU ID	sample-1	sample-2	sample-3	sample-4	sample-5
abb10a647c8f738b1234ae7e8b5100ac	307.0	328.0	0.0	0.0	349.0
950cec852f0108085dde044196c72b81	178.0	160.0	170.0	175.0	194.0
b969933d0c3eb9d807b5dce824e2a5a0	202.0	125.0	198.0	203.0	144.0
d1fc6ec86b9d489fe28cdfaa15635866	166.0	166.0	184.0	186.0	169.0
f36c94d5ce63149828293833e158b471	190.0	167.0	175.0	170.0	159.0
38cd4706010ff88760966c3f79b4fd32	174.0	157.0	169.0	184.0	173.0
57b1446de363657e97266c18a1343caa	163.0	169.0	179.0	177.0	168.0
12d7b96cc5bc953e40ff60ce4cc095f1	184.0	170.0	163.0	161.0	175.0
7fa106686a97569523ce7dddf19c0f18	176.0	186.0	157.0	165.0	169.0
818b1fd3a90ca2b9979717f5e64f101b	164.0	174.0	174.0	167.0	171.0
9a54a36b95fc2aaeadb8dedfcbee07f6	165.0	169.0	170.0	170.0	175.0
46e5eb7095908d9578dafeebff963de2	172.0	156.0	181.0	157.0	179.0
ba3558ee1a1ba96845d1a0abdd4e0d20	168.0	170.0	169.0	161.0	177.0
dae81ccc29f407c8423f3ad03c99c42f	161.0	176.0	166.0	174.0	168.0
d4cc772781392390ca80e3359ba45ebe	171.0	169.0	169.0	170.0	164.0
e2a8d7632e919b3e7b3c55e72431e1e9	156.0	163.0	169.0	167.0	183.0
5cd69ea2ff1ef7f8eb4f442cd6aa3a19	181.0	157.0	158.0	178.0	162.0
19ee7870d210d1928cfea1c8f2e57bde	172.0	157.0	170.0	168.0	168.0
2af20972bc6b17b61c5fb9a52461250f	168.0	171.0	167.0	150.0	179.0
1175f91e04fb938019b00f762c8f38fb	188.0	161.0	155.0	165.0	164.0
dfa9b38730f2e2083128641b4ca8d8ea	160.0	170.0	166.0	175.0	156.0
dc732aaf026737070decef28d462bfa2	168.0	149.0	178.0	184.0	142.0
3c07bdc3a2df77149ba92bbcb4e84684	163.0	169.0	158.0	163.0	164.0
3f0d10879e1dc44be908bd4e0bce1a9f	166.0	154.0	169.0	171.0	156.0
54890f611a9bbf2aa13101d38f42ffcf	159.0	160.0	174.0	156.0	167.0
e5b902d082b836aff20cb1647bed2c93	158.0	169.0	154.0	165.0	168.0
00c92a88b3df266d75a1848020260d07	155.0	183.0	153.0	146.0	176.0
700c57f004daa5c04393c6e0147e5b6b	170.0	169.0	154.0	165.0	152.0
d96199e3e690677e56d011382340f06f	176.0	162.0	159.0	153.0	159.0
73b29ca0bdc267b5a076b00bc534c497	152.0	176.0	161.0	155.0	165.0
3113c6ceaa288a759d0e9b2d742b8e6b	167.0	157.0	169.0	148.0	163.0
84939dd08c1f788093e012740e5712a8	158.0	158.0	167.0	158.0	163.0
ad7b4dcd1fcf1449c3b339ea7e3fc6c5	148.0	166.0	163.0	166.0	159.0
c9394fc588afff761f13b79a4d316a31	161.0	148.0	176.0	158.0	157.0
8a352f8023e251e97307856b4a0ad7ab	165.0	160.0	148.0	157.0	169.0
d7a434cbdd1eebde1d0c6a3ec771d35a	144.0	155.0	173.0	158.0	168.0
b0e2e76df7d79318f54585bd77a666fc	165.0	158.0	158.0	166.0	149.0
4c57cfc5a078e3f90cc85133200af05b	156.0	165.0	157.0	156.0	161.0
29552db2869dae544b296eace7bfc869	152.0	162.0	159.0	163.0	159.0
4b2a295aa75a717fc098947312cfebeb	156.0	168.0	156.0	162.0	152.0
2cd02def64114b24b654bd9d91d3f68d	168.0	163.0	153.0	154.0	155.0
bc0959add88d9112c2b269b2e789acf9	159.0	153.0	153.0	180.0	148.0
14028c1fb30b2ff7da8048dc85a926e5	156.0	156.0	151.0	167.0	162.0
bcb86d8b129592dc257bf598a7e152dd	158.0	180.0	152.0	152.0	147.0
de29bbadc7a20f8c07de842a73f570b4	158.0	176.0	158.0	146.0	151.0
a966c7121c1df1aa387b510649883004	169.0	158.0	154.0	140.0	165.0
06b116cea46508d4847073fb3011e694	140.0	162.0	151.0	161.0	167.0
ee1f642b8e9347a37616a4440595df97	120.0	199.0	129.0	131.0	192.0
077cedda2d1f14056a8009aa7a9f9989	0.0	0.0	327.0	356.0	0.0
005f46ee24a31c94ac3750eb3111a864	0.0	0.0	0.0	316.0	303.0
