TaxonID	ToxinCarriage(icon)	ToxinCarriage	ToxinCarriage(n)	Mapping_of_original_species_names_to_new_names	LabelColor	
Klebsiella_michiganensis_strain_KLO00013_NZ_JADRUM010000065_gene_copy-1	-	Negative	0	188	#808080	
Klebsiella_michiganensis_strain_KLO00011_NZ_JADRUO010000080_gene_copy-1	-	Negative	0	189	#808080	
Klebsiella_michiganensis_strain_KLO00010_NZ_JADRUP010000069_gene_copy-1	-	Negative	0	190	#808080	
Klebsiella_oxytoca_strain_KLO00008_NZ_JADRTU010000044_gene_copy-1	+	Positive	1	191	#000000	
Klebsiella_oxytoca_strain_KLO00006_NZ_JADRTW010000039_gene_copy-1	-	Negative	0	192	#808080	
Klebsiella_oxytoca_strain_KLO00003_NZ_JADRTX010000001_consensus-1	-	Negative	0	193	#808080	
Klebsiella_michiganensis_strain_KLO00005_NZ_JADRUQ010000088_gene_copy-1	-	Negative	0	194	#808080	
Klebsiella_oxytoca_strain_KLO00001_NZ_JADRTY010000063_gene_copy-1	+	Positive	1	195	#000000	
Klebsiella_michiganensis_strain_Lac4_NZ_JADWYL010000067_gene_copy-1	-	Negative	0	196	#808080	
Klebsiella_michiganensis_strain_7525_NZ_CP065474_consensus-1	-	Negative	0	197	#808080	
Klebsiella_oxytoca_strain_1-22_NZ_JAAFFD010000063_gene_copy-1	-	Negative	0	198	#808080	
Klebsiella_oxytoca_strain_KO57_H_NZ_WMNY01000044_gene_copy-1	+	Positive	1	199	#000000	
Klebsiella_oxytoca_strain_KO52_H_NZ_WMNZ01000032_gene_copy-1	-	Negative	0	200	#808080	
Klebsiella_oxytoca_strain_KO105_C_NZ_WMNW01000046_gene_copy-1	-	Negative	0	201	#808080	
Klebsiella_oxytoca_strain_KO104_H_NZ_WMNX01000057_gene_copy-1	-	Negative	0	202	#808080	
Klebsiella_oxytoca_strain_KO19_H_NZ_WMOD01000040_gene_copy-1	+	Positive	1	203	#000000	
Klebsiella_oxytoca_strain_KO39_H_NZ_WMOB01000060_gene_copy-1	+	Positive	1	204	#000000	
Klebsiella_oxytoca_strain_KO31_C_NZ_WMOC01000052_gene_copy-1	+	Positive	1	205	#000000	
Klebsiella_michiganensis_strain_KA43_C_NZ_WMOS01000084_gene_copy-1	+	Positive	1	206	#000000	
Klebsiella_michiganensis_strain_KO99_C_NZ_WMOT01000063_gene_copy-1	+	Positive	1	207	#000000	
Klebsiella_michiganensis_strain_KO66_H_NZ_WMOV01000051_gene_copy-1	-	Negative	0	208	#808080	
Klebsiella_michiganensis_strain_KO12_C_NZ_WMOX01000053_gene_copy-1	-	Negative	0	209	#808080	
Klebsiella_michiganensis_strain_KO70_H_NZ_WMOU01000057_gene_copy-1	-	Negative	0	210	#808080	
Klebsiella_michiganensis_strain_KO36_C_NZ_WMOW01000191_gene_copy-1	-	Negative	0	211	#808080	
Klebsiella_grimontii_strain_KO10_C_NZ_WMOY01000029_gene_copy-1	+	Positive	1	212	#000000	
Klebsiella_michiganensis_strain_KO7_H_NZ_WMOZ01000060_gene_copy-1	-	Negative	0	213	#808080	
Klebsiella_grimontii_strain_KOX_NZ_CP067433_consensus-1	+	Positive	1	214	#000000	
Klebsiella_grimontii_strain_KOX_NZ_CP067433_consensus-2	+	Positive	1	215	#000000	
Klebsiella_grimontii_strain_KOX_NZ_CP067433_consensus-3	+	Positive	1	216	#000000	
Klebsiella_michiganensis_strain_KLEB011_NZ_JAEQMJ010000080_gene_copy-1	+	Positive	1	217	#000000	
Klebsiella_michiganensis_strain_KLEB016_NZ_JAERPT010000070_gene_copy-1	-	Negative	0	218	#808080	
Klebsiella_michiganensis_strain_KLEB015_NZ_JAERPU010000104_gene_copy-1	+	Positive	1	219	#000000	
Klebsiella_oxytoca_strain_KLEB012_NZ_JAERPX010000059_gene_copy-1	-	Negative	0	220	#808080	
Klebsiella_michiganensis_strain_CPO116_NZ_JAETVA010000001_consensus-1	-	Negative	0	221	#808080	
Klebsiella_oxytoca_strain_CPO119_NZ_JAETUY010000001_consensus-1	+	Positive	1	222	#000000	
Klebsiella_oxytoca_strain_CPO082_NZ_JAETVF010000001_consensus-1	+	Positive	1	223	#000000	
Klebsiella_oxytoca_strain_CPO118_NZ_JAETUZ010000001_consensus-1	+	Positive	1	224	#000000	
Klebsiella_oxytoca_strain_CPO121_NZ_JAETUX010000001_consensus-1	+	Positive	1	225	#000000	
Klebsiella_oxytoca_strain_CPO088_NZ_JAETVE010000001_consensus-1	+	Positive	1	226	#000000	
Klebsiella_oxytoca_strain_FDAARGOS_1334_NZ_CP069911_consensus-1	-	Negative	0	227	#808080	
Klebsiella_oxytoca_strain_FDAARGOS_1334_NZ_CP069911_consensus-2	-	Negative	0	228	#808080	
Klebsiella_oxytoca_strain_FDAARGOS_1336_NZ_JAFFQV010000001_consensus-1	+	Positive	1	229	#000000	
Klebsiella_oxytoca_strain_IR5392_NZ_CP064108_consensus-1	+	Positive	1	230	#000000	
Klebsiella_michiganensis_strain_Kmfe267_NZ_CP071393_consensus-1	-	Negative	0	231	#808080	
Klebsiella_michiganensis_strain_12084_NZ_CP072119_consensus-1	-	Negative	0	232	#808080	
Klebsiella_michiganensis_strain_LDS17_NZ_CP065338_consensus-1	+	Positive	1	233	#000000	
Klebsiella_michiganensis_strain_LDS17_NZ_CP065338_consensus-2	+	Positive	1	234	#000000	
Klebsiella_michiganensis_strain_LDS17_NZ_CP065338_consensus-3	+	Positive	1	235	#000000	
Klebsiella_michiganensis_strain_ET24_NZ_JADOBN010000054_gene_copy-1	-	Negative	0	236	#808080	
Klebsiella_michiganensis_strain_X2-1_NZ_CP051427_consensus-2	-	Negative	0	237	#808080	
Klebsiella_michiganensis_strain_X2-1_NZ_CP051427_consensus-3	-	Negative	0	238	#808080	
Klebsiella_grimontii_strain_2481359_NZ_CP067380_consensus-1	+	Positive	1	239	#000000	
Klebsiella_grimontii_strain_5512.56_NZ_CP067391_consensus-1	+	Positive	1	240	#000000	
Klebsiella_oxytoca_isolate_KoPF10_NZ_CP072914_consensus-1	+	Positive	1	241	#000000	
Klebsiella_oxytoca_isolate_KoPF10_NZ_CP072914_consensus-2	+	Positive	1	242	#000000	
Klebsiella_oxytoca_strain_ISMETTKLB165_NZ_JAEQKI010000072_gene_copy-1	+	Positive	1	243	#000000	
Klebsiella_michiganensis_strain_20-MO00090-0_NZ_JABJXH010000096_gene_copy-1	-	Negative	0	244	#808080	
Klebsiella_michiganensis_strain_20-MO00090-1_NZ_JABJXI010000101_gene_copy-1	-	Negative	0	245	#808080	
Klebsiella_michiganensis_strain_SCPM-O-B-9255_NZ_JAGRYW010000054_gene_copy-1	-	Negative	0	246	#808080	
Klebsiella_michiganensis_strain_SCPM-O-B-9252_NZ_JAGRYZ010000092_gene_copy-1	-	Negative	0	247	#808080	
